Designator,Mid X,Mid Y,Layer,Rotation
SW2,SW_Push,SW_Push_1P1T_NO_CK_KMR2,193.375000,-93.875000,0.000000,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,137.375000,-97.875000,0.000000,top
U2,W25Q128JVS,SOIC-8_3.9x4.9mm_P1.27mm,152.375000,-97.875000,0.000000,top
U3,TLC5947DAP,Texas_DAD0032A_HTSSOP-32_6.1x11mm_P0.65mm_TopEP3.71x3.81mm,101.375000,-110.875000,0.000000,top
U4,TLC5947DAP,Texas_DAD0032A_HTSSOP-32_6.1x11mm_P0.65mm_TopEP3.71x3.81mm,211.375000,-110.875000,0.000000,top
U5,74HC165,TSSOP-16_4.4x5mm_P0.65mm,77.375000,-105.875000,0.000000,top
U6,74HC165,TSSOP-16_4.4x5mm_P0.65mm,197.375000,-105.875000,0.000000,top
U7,Micro_SD_Card,microSD_HC_Hirose_DM3AT-SF-PEJM5,220.375000,-67.875000,180.000000,top
U8,AMS1117-3.3,SOT-223-3_TabPin2,113.375000,-77.875000,0.000000,top
U9,AMS1117-3.3,SOT-223-3_TabPin2,175.375000,-77.875000,0.000000,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,121.375000,-97.875000,0.000000,top
